"name","height","weight","games","touchdowns","points","two_point_points","total_singles","fumbles","fumbles_lost","fumble_return_yards","fumble_touchdowns"
"D.L._Moore",6.05,198,4,0,0,0,0,0,0,0,0
"Dobson_Collins",6.02,185,18,2,12,0,0,0,0,0,0
"Dominic_Alford",6.03,320,1,0,0,0,0,0,0,0,0
"Dominic_Picard",6.02,302,1,0,0,0,0,0,0,0,0
"Dominic_Rhodes",5.09,205,1,0,0,0,0,0,0,0,0
"Dominique_Davis",6.03,210,1,0,0,0,0,0,0,0,0
"Dominique_Ellis",5.11,195,16,0,0,0,0,0,0,0,0
"Dominique _Franks",6,200,2,0,0,0,0,0,0,0,0
"Donald_Washington",6,198,8,0,0,0,0,0,0,0,0
"Donavon _Kemp",6.01,200,2,1,6,0,0,0,0,0,0
"Don_Oramasionwu",6.02,290,22,0,0,0,0,0,0,0,0
"Donovan_Alexander",6,182,16,0,0,0,0,0,0,0,0
"Donovan_Richard",6,220,8,0,0,0,0,0,0,0,0
"Donovan_Robinson",6.03,250,2,0,0,0,0,0,0,0,0
"Dontay_Moch",6.03,236,2,0,0,0,0,0,0,0,0
"Dontrelle_Inman",6.03,204,14,6,36,0,0,1,1,0,0
"Don_Unamba",6.01,212,19,1,6,0,0,0,0,1,1
"Doug_Pierce",6.05,211,4,0,0,0,0,0,0,0,0
"Drew_Tate",6,191,39,17,102,0,0,4,3,0,0
"Drew_Willy",6.04,221,41,2,12,0,0,6,5,0,0
"Duron_Carter",6.05,205,33,15,90,0,0,4,3,0,0
"Dwight_Anderson",5.11,188,28,0,0,0,0,0,0,0,0
"Dylan_Ainsworth",6.03,242,20,0,0,0,0,0,0,0,0
"Eddie_Elder",5.1,186,10,0,0,0,0,0,0,0,0
"Eddie _Russ",6,185,5,0,0,0,0,0,0,0,0
"Eddie_Steele",6.02,280,31,0,0,0,0,0,0,0,0
"Ed_Gainey",5.11,195,34,1,6,0,0,0,0,71,1
"Ed_Gant",6.03,200,3,1,6,0,0,0,0,0,0
"Edmon_McClam",6.06,280,1,0,0,0,0,0,0,0,0
"Ejiro_Kuale",6.02,229,17,0,0,0,0,0,0,0,0
"Elie_Ngoyi",6.02,255,13,0,0,0,0,0,0,0,0
"Elvis_Akpla",6.01,191,2,0,0,0,0,0,0,0,0
"Emanuel_Davis",5.11,182,33,1,6,0,0,0,0,0,0
"Emmanuel_Arceneaux",6.02,211,40,16,96,0,0,3,1,0,0
"Eric_Black",6.01,180,3,0,0,0,0,0,0,0,0
"Eric_Deslauriers",6.04,206,27,0,0,0,0,0,0,0,0
"Eric_Foster",6.02,265,1,0,0,0,0,0,0,0,0
"Eric_Fraser",6.01,202,30,0,0,0,0,0,0,0,0
"Eric_Harper",6.03,238,2,0,0,0,0,0,0,0,0
"Eric_McCree",6.03,208,2,0,0,0,0,0,0,0,0
"Eric_Norwood",6.01,252,37,0,0,0,0,0,0,0,0
"Eric_O'Neal",0,200,1,0,0,0,0,1,0,0,0
"Eric_Page",5.1,180,1,0,0,0,0,0,0,0,0
"Eric_Rogers",6.03,210,10,8,50,1,0,0,0,0,0
"Eric _Samuels",6.01,200,29,0,0,0,0,1,1,0,0
"Eric_Taylor",6.02,309,35,0,0,0,0,0,0,19,0
"Eric_Thomas",6.01,225,1,0,0,0,0,0,0,0,0
"Erik_Harris",6.03,225,34,1,6,0,0,0,0,48,0
"Ernest _Jackson",6.02,220,24,7,42,0,0,2,1,0,0
"Eron_Riley",6.03,205,9,1,6,0,0,0,0,0,0
"Errol_Brooks",5.08,175,1,0,0,0,0,0,0,0,0
"Ese_Mrabure-Ajufo",6.02,250,2,0,0,0,0,0,0,0,0
"Etauj_Allen",5.09,185,1,1,6,0,0,2,1,0,0
"Etienne_Legare",6.03,275,3,0,0,0,0,0,0,0,0
